Gebied,dp,yMV.bui,ysloot.1d,xMV.bin,xSloot.1a,xSloot.1c,xSloot.1d,xSloot.1b,xWeg.1,xTeen.1,xBerm.1a,xBerm.1b,xKruin.1,xKruin.2,xBerm.2a,xBerm.2b,xTeen.2,xWeg.2,xSloot.2,xMVB.bui,yMV.bin,ySloot.1a,ySloot.1c,ySloot.1b,yWeg.1,yTeen.1,yBerm.1a,yBerm.1b,yKruin.1,yKruin.2,yBerm.2a,yBerm.2b,yTeen.2,yWeg.2,ySloot.2
Os,860.0,-1.704,-1.04,-200.03,-30.03,-27.99,-26.86,-24.03,-24.03,-17.34,-2.868,-2.868,-2.868,-0.407,10.022,15.427,33.04,38.97,222.97,232.97,0.32,0.32,-1.04,0.844,0.844,1.1,6.97,6.97,6.97,7.01,3.9,3.65,-0.97,-0.982,-1.036
Os,861.0,-1.621,-1.75,-200.58,-29.58,-27.51,-26.98,-24.58,-17.57,-17.568,-2.634,-2.634,-2.634,0.035,10.565,15.723,33.382,71.42,71.42,83.42,0.321,0.321,-1.75,0.65,1.228,1.11,6.98,6.98,6.98,7.05,3.82,3.6,-0.97,-1.636,-1.636
Os,862.0,-1.547,-1.75,-167.74,-72.74,-70.07,-69.54,-66.74,-24.74,-15.652,-15.652,-2.985,-2.985,0.031,3.905,9.582,33.017,55.26,55.26,81.26,0.632,0.92,-1.75,1.055,1.458,1.88,1.88,6.87,6.87,6.89,5.59,5.38,-0.98,-1.402,-1.402
Os,863.0,-1.586,-0.4,-161.34,-27.34,-25.38,-25.12,-23.21,-23.21,-20.602,-20.602,-16.085,-2.886,-0.028,4.515,10.229,33.685,53.66,53.66,57.66,0.855,1.11,-0.4,1.069,1.069,1.1,1.1,1.26,7.03,7.08,5.52,5.35,-0.99,-1.642,-1.642
Os,864.0,-1.635,-0.4,-233.45,-27.45,-25.23,-24.67,-22.45,-22.45,-20.564,-20.564,-16.453,-2.567,0.219,4.669,11.051,34.759,39.77,39.77,41.55,0.764,1.08,-0.4,1.082,1.082,1.02,1.02,1.18,6.83,6.83,5.58,5.43,-0.88,-1.126,-1.126
Os,865.0,-1.402,-0.24,-211.47,-101.47,-99.84,-47.97,-46.47,-32.47,-18.042,-18.042,-16.799,-3.198,0.269,4.774,11.553,34.842,46.53,46.53,46.53,0.784,0.846,-0.24,0.757,1.009,1.25,1.25,1.19,6.84,7.2,5.51,5.26,-1.02,-1.402,-1.402
Os,866.0,-1.61,0.05,-219.01,-27.01,-25.57,-24.19,-22.01,-22.01,-18.01,-4.01,-4.01,-4.01,0.31,13.31,37.99,44.99,49.99,55.33,59.99,0.796,1.013,0.05,1.504,1.504,1.382,6.81,6.81,6.81,6.853,3.12,2.607,0.33,-0.313,-0.691
Os,867.0,-1.43,0.11,-270.4,-40.4,-39.17,-38.22,-35.57,-35.57,-35.57,-35.57,-24.23,-10.4,1.26,4.805,8.696,33.089,36.6,43.6,44.6,0.866,0.93,0.11,1.874,1.874,1.874,1.874,2.104,6.856,6.74,5.22,5.04,-0.8,-0.842,-0.998
Os,868.0,-1.67,0.11,-295.86,-29.86,-28.8,-28.57,-27.86,-27.86,-25.693,-23.528,-16.822,-8.121,0.91,11.933,14.592,23.251,24.14,55.14,57.14,0.71,1.028,0.11,0.726,0.726,1.61,2.45,2.6,6.03,5.92,2.26,1.91,-1.4,-1.311,-1.512
Os,869.06,1.486,0.18,-203.19,-82.19,-80.69,-58.8,-57.19,-48.43,-48.43,-37.19,-15.19,-8.19,-8.19,-8.19,2.81,2.81,2.81,2.81,2.81,1.032,1.177,0.18,1.248,1.267,1.267,5.594,5.745,4.763,4.763,4.763,1.486,1.486,1.486,1.486
Os,870.0,-1.581,-0.84,-200.18,-31.03,-28.7,-28.08,-25.18,-25.18,-20.236,-8.12,-8.12,-8.12,1.515,12.849,19.288,39.48,51.11,51.11,52.82,0.713,0.713,-0.84,1.095,1.095,1.27,6.11,6.11,6.11,6.05,4.4,3.94,2.7,-0.815,-0.815
